20:25:17.126 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
20:25:18.877 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
20:25:18.877 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
20:25:19.099 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:25:19.099 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
20:25:19.125 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:25:19.125 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
20:25:19.145 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
20:25:19.145 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
20:25:19.175 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
20:25:19.175 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
20:25:19.189 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:25:19.189 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
20:25:19.203 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:25:19.203 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
20:25:19.211 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
20:25:19.211 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
20:25:19.263 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
20:25:19.263 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
20:25:19.288 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:25:19.289 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:25:19.301 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
20:25:19.302 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
20:25:19.313 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
20:25:19.313 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
20:25:19.325 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:25:19.325 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
20:25:19.337 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
20:25:19.338 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
20:25:19.345 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:25:19.345 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
20:25:19.359 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
20:25:19.360 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
20:25:19.371 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
20:25:19.371 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
20:25:19.377 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
20:25:19.377 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
20:25:19.388 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
20:25:19.389 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
20:25:19.404 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
20:25:19.404 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
20:25:19.415 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
20:25:19.415 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
20:25:19.427 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
20:25:19.427 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
20:25:19.441 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
20:25:19.442 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
20:25:19.451 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
20:25:19.452 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
