20:24:52.604 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
20:24:54.886 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
20:24:54.887 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
20:24:55.269 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
20:24:55.269 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
20:24:55.368 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
20:24:55.369 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:24:55.800 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
20:24:55.800 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:24:55.824 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
20:24:55.825 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
20:24:56.037 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
20:24:56.037 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
20:24:56.065 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
20:24:56.065 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
