20:25:24.588 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:25:26.681 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:25:26.682 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:25:26.910 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:25:26.910 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:25:26.948 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:25:26.948 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:25:26.986 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:25:26.986 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
20:25:27.012 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:25:27.012 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
20:25:27.028 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:25:27.028 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
20:25:27.068 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:25:27.068 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
20:25:27.117 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:25:27.117 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
20:25:27.139 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:25:27.139 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
20:25:27.187 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:25:27.188 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
20:25:27.237 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:25:27.237 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
20:25:27.250 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:25:27.251 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
20:25:27.277 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:25:27.277 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
20:25:27.293 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
20:25:27.294 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
20:25:27.311 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
20:25:27.311 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
20:25:27.333 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
20:25:27.333 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
20:25:27.353 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
20:25:27.354 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
20:25:27.370 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
