20:25:35.951 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
20:25:37.418 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:25:37.418 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
20:25:37.768 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
20:25:37.768 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
20:25:37.816 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:25:37.816 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
20:25:37.895 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
20:25:37.895 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
20:25:37.937 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:25:37.938 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
20:25:38.259 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
20:25:38.260 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
20:25:38.781 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:25:38.782 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
20:25:38.976 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
20:25:38.976 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
20:25:39.002 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:25:39.003 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
20:25:39.150 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
20:25:39.151 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
20:25:39.205 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
20:25:39.205 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
20:25:39.330 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
