20:24:47.460 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
20:24:49.155 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
20:24:49.155 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
20:24:49.492 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
20:24:49.492 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
20:24:49.562 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
20:24:49.564 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:24:49.696 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
20:24:49.696 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:24:49.722 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
20:24:49.722 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
20:24:49.992 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
20:24:49.993 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
20:24:50.016 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
20:24:50.016 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
