20:25:18.470 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
20:25:20.236 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:25:20.237 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
20:25:20.696 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
20:25:20.697 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
20:25:20.741 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:25:20.741 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
20:25:20.839 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
20:25:20.839 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
20:25:20.862 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:25:20.862 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
20:25:20.930 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
20:25:20.930 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
20:25:20.962 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
20:25:20.962 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
20:25:21.244 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:25:21.245 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
20:25:21.527 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
20:25:21.527 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
