20:25:38.225 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/dashboard
20:25:40.657 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
20:25:40.657 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
20:25:40.861 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:25:40.861 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
20:25:40.904 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
20:25:40.905 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
20:25:40.960 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
20:25:40.960 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
20:25:41.010 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
20:25:41.010 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
20:25:41.062 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:25:41.062 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
20:25:41.101 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
20:25:41.102 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
20:25:41.172 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
20:25:41.173 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
20:25:41.229 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
