21:02:30.340 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:02:32.628 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:02:32.628 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:02:33.069 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:02:33.070 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:02:33.099 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:02:33.101 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:02:33.125 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:02:33.125 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:02:33.151 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:02:33.151 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
21:02:33.190 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:02:33.190 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
21:02:33.220 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:02:33.220 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
21:02:33.244 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:02:33.245 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
21:02:33.272 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:02:33.272 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
21:02:33.301 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:02:33.301 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
21:02:33.321 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:02:33.321 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
21:02:33.344 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:02:33.344 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
21:02:33.368 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:02:33.371 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
21:02:33.389 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:02:33.389 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
21:02:33.406 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
21:02:33.406 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
21:02:33.429 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
21:02:33.430 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
21:02:33.442 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
21:02:33.442 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
21:02:33.455 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
21:02:33.455 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
21:02:33.484 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
21:02:33.484 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:02:33.500 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
21:02:33.501 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
21:02:33.525 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
21:02:33.526 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
21:02:33.558 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
21:02:33.560 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Click on "Create exercise" button to create new exercise"
21:02:33.583 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
21:02:33.583 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
21:02:33.695 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
21:02:33.696 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
21:02:33.748 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
21:02:33.748 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
21:02:33.785 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-icon" at index "0"
21:02:33.786 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Image upload info icon" is visible
21:02:33.807 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
21:02:33.807 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" is visible
21:02:33.835 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
21:02:33.835 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" has text: "Tap on "Upload image" button to select file"
21:02:33.859 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
21:02:33.859 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" is visible
21:02:33.878 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
21:02:33.878 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" has text: "Recommended file size 540X300"
21:02:33.893 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-upload-button" at index "0"
21:02:33.893 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Upload image" is visible
21:02:33.921 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
21:02:33.921 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
21:02:33.938 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
21:02:33.938 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
