21:02:05.623 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:02:06.716 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:02:06.720 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:02:07.332 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:02:07.332 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:02:07.445 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:02:07.445 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:02:07.622 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:02:07.622 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:02:07.712 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:02:07.712 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:02:07.883 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:02:07.883 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:02:07.953 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:02:07.953 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:02:08.432 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:02:08.433 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:02:08.772 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:02:08.773 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
