21:01:57.018 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:01:59.299 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:01:59.299 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
21:01:59.638 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:01:59.638 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
21:02:00.007 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:02:00.008 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:02:00.081 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:02:00.082 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:02:00.123 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:02:00.123 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:02:00.296 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:02:00.296 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:02:00.314 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:02:00.315 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
