21:01:59.027 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:02:00.660 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:02:00.660 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:02:00.952 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:02:00.952 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:02:01.013 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:02:01.013 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:02:01.098 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:02:01.098 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:02:01.108 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:02:01.108 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:02:01.182 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:02:01.182 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:02:01.208 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:02:01.209 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:02:01.409 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:02:01.409 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:02:01.775 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:02:01.775 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
