21:02:08.962 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:02:09.974 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:02:09.974 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:02:10.197 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:02:10.198 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:02:10.219 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:02:10.220 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:02:10.297 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:02:10.297 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:02:10.304 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:02:10.304 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:02:10.336 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:02:10.336 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:02:10.346 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:02:10.346 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:02:10.499 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
21:02:11.123 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:02:12.876 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:02:12.876 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:02:13.257 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:02:13.257 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:02:13.321 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:02:13.321 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:02:13.363 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:02:13.363 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:02:13.380 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
21:02:13.381 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
21:02:13.486 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
21:02:13.486 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
21:02:13.509 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
21:02:13.509 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
21:02:13.535 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:02:13.536 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
21:02:13.592 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:02:13.592 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
21:02:13.625 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:02:13.625 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "4 weeks"
21:02:13.745 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:02:13.745 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "4 weeks"
21:02:13.774 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:02:13.775 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright course"
21:02:13.862 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:02:13.862 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright course"
21:02:13.874 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:02:13.874 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
21:02:13.935 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:02:13.935 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
21:02:13.954 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:02:13.954 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
21:02:14.013 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:02:14.013 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
21:02:14.031 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:02:14.032 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:02:14.051 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:02:14.052 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:02:14.084 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:02:14.084 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:02:14.118 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:02:14.119 | 💡 INFO     | BUTTON         | Checking that button "Create course" is enabled
