21:02:28.913 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
21:02:31.414 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:02:31.414 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:02:31.620 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:02:31.620 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:02:31.672 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:02:31.673 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:02:31.691 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:02:31.692 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:02:31.738 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:02:31.738 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:02:31.760 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:02:31.760 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:02:31.776 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:02:31.777 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:02:31.799 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:02:31.800 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:02:31.819 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:02:31.819 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:02:31.836 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:02:31.837 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:02:31.853 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:02:31.853 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:02:31.868 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
21:02:31.870 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
21:02:31.888 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:02:31.888 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:02:31.914 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:02:31.914 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:02:31.930 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:02:31.931 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
21:02:31.943 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:02:31.944 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
21:02:31.962 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:02:31.964 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
21:02:31.998 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:02:31.999 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
21:02:32.035 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
21:02:32.035 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
21:02:32.060 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
21:02:32.061 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
21:02:32.094 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
21:02:32.095 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:02:32.123 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
21:02:32.123 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
21:02:32.150 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
21:02:32.150 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
21:02:32.175 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
21:02:32.175 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
