21:02:38.185 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:02:39.716 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:02:39.716 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:02:40.458 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:02:40.458 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:02:40.488 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:02:40.488 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:02:40.515 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:02:40.515 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:02:40.538 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:02:40.538 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
21:02:40.624 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:02:40.624 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
21:02:40.637 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:02:40.637 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
21:02:40.722 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:02:40.722 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
21:02:40.739 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:02:40.740 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
21:02:40.797 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:02:40.797 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
21:02:40.821 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:02:40.821 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
