21:01:43.186 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:01:44.492 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:01:44.493 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
21:01:44.769 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:01:44.769 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
21:01:44.834 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:01:44.834 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:01:44.977 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:01:44.978 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:01:45.026 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:01:45.026 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:01:45.221 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:01:45.221 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:01:45.247 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:01:45.247 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
