21:02:34.150 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/dashboard
21:02:34.831 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:02:34.831 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:02:35.794 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:02:35.797 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:02:35.831 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:02:35.831 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:02:35.857 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:02:35.857 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:02:35.881 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:02:35.882 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:02:35.905 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:02:35.905 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:02:35.925 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:02:35.925 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:02:35.945 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:02:35.945 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:02:35.957 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:02:35.957 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:02:35.967 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:02:35.968 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:02:35.983 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
