21:02:05.484 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:02:09.190 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:02:09.190 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:02:09.590 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:02:09.593 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:02:09.626 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:02:09.626 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:02:09.834 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:02:09.834 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:02:09.872 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:02:09.873 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:02:10.409 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:02:10.412 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:02:10.423 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:02:10.423 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:02:10.653 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:02:10.655 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:02:10.987 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:02:10.987 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
