21:02:11.457 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:02:12.276 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:02:12.276 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:02:12.596 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:02:12.597 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:02:12.618 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:02:12.618 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:02:12.672 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:02:12.676 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:02:12.684 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:02:12.684 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:02:12.712 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:02:12.713 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:02:12.720 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:02:12.722 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:02:12.938 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
21:02:18.647 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:02:20.680 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:02:20.680 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:02:21.167 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:02:21.167 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
