21:01:50.944 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:01:51.998 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:51.999 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:01:52.500 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:01:52.500 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:01:52.512 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:52.512 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:01:52.613 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:01:52.613 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:01:52.630 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:52.631 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:01:52.713 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:01:52.713 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:01:52.722 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:01:52.722 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:01:53.167 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:01:53.167 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:01:54.295 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:01:54.295 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:01:54.331 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:01:54.332 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:01:54.360 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:01:54.360 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:01:54.378 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:01:54.378 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
21:01:54.403 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:01:54.403 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
21:01:54.428 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:01:54.428 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:01:54.438 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:01:54.438 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:01:54.452 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:01:54.452 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:01:54.472 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:01:54.472 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:01:54.484 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:01:54.485 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:01:54.502 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:01:54.502 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:01:54.521 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:01:54.521 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:01:54.537 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:01:54.537 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:01:54.553 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:01:54.553 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:01:54.572 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:01:54.573 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:01:54.600 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:01:54.600 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:01:54.620 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
21:01:54.620 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
21:01:54.656 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:01:54.656 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Logout button"
21:02:05.897 | 💡 INFO     | BASE_COMPONENT | Checking that current url matches pattern: .*/#/auth/login
21:02:06.022 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:02:06.022 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:02:06.120 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:02:06.120 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:02:06.226 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:02:06.226 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:02:06.492 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:02:06.492 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:02:06.546 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:02:06.546 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:02:07.250 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:02:07.250 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:02:07.280 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:02:07.280 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:02:07.321 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:02:07.321 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:02:07.346 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:02:07.346 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:02:07.371 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:02:07.371 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
21:02:07.394 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:02:07.395 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
21:02:07.412 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:02:07.412 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:02:07.431 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:02:07.432 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:02:07.461 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:02:07.461 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:02:07.497 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:02:07.497 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:02:07.520 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:02:07.520 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:02:07.545 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:02:07.546 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:02:07.576 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:02:07.576 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:02:07.596 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:02:07.596 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:02:07.627 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:02:07.628 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:02:07.658 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:02:07.659 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:02:07.683 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:02:07.683 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:02:07.721 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
21:02:07.721 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
