21:02:20.152 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:02:22.310 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:02:22.310 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:02:22.680 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:02:22.681 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:02:22.729 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:02:22.729 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:02:22.778 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:02:22.778 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:02:22.810 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:02:22.810 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
21:02:22.819 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:02:22.819 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
21:02:22.841 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:02:22.841 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
21:02:22.862 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:02:22.863 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
21:02:22.872 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:02:22.873 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
21:02:22.888 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:02:22.889 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
