21:02:41.567 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/dashboard
21:02:42.630 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:02:42.630 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:02:42.897 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:02:42.898 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:02:42.926 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:02:42.926 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:02:42.952 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:02:42.952 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:02:42.976 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:02:42.976 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:02:42.995 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:02:42.995 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:02:43.015 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:02:43.015 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:02:43.040 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:02:43.040 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:02:43.062 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:02:43.063 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
