21:14:20.769 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:14:23.302 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:14:23.302 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
21:14:23.729 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:14:23.729 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
21:14:23.777 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:14:23.777 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:14:23.874 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:14:23.875 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:14:23.897 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:14:23.897 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:14:24.057 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:14:24.057 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:14:24.074 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:14:24.074 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
