21:14:32.195 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:14:34.694 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:14:34.694 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:14:34.936 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:14:34.936 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:14:34.999 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:14:34.999 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:14:35.129 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:14:35.129 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:14:35.148 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:14:35.148 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:14:35.216 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:14:35.216 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:14:35.245 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:14:35.246 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:14:35.697 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:14:35.698 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:14:35.987 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:14:35.987 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
