21:14:26.911 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:14:28.193 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:14:28.193 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:14:28.554 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:14:28.554 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:14:28.577 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:14:28.578 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:14:28.641 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:14:28.642 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:14:28.658 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:14:28.659 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:14:28.722 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:14:28.722 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:14:28.755 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:14:28.755 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:14:29.120 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:14:29.120 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:14:29.502 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:14:29.503 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
