21:14:11.814 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:14:13.377 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:14:13.378 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
21:14:13.900 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:14:13.900 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
21:14:13.931 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:14:13.931 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:14:14.014 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:14:14.014 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:14:14.037 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:14:14.037 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:14:14.260 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:14:14.261 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:14:14.355 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:14:14.355 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
