21:14:34.902 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:14:35.774 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:14:35.775 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:14:36.006 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:14:36.006 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:14:36.016 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:14:36.017 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:14:36.061 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:14:36.061 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:14:36.079 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:14:36.079 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:14:36.122 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:14:36.122 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:14:36.130 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:14:36.130 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:14:36.259 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
21:14:39.687 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:14:41.443 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:14:41.443 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:14:42.180 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:14:42.181 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:14:42.204 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:14:42.204 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:14:42.241 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:14:42.241 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:14:42.266 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
21:14:42.268 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
21:14:42.388 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
21:14:42.388 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
21:14:42.422 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
21:14:42.423 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
21:14:42.466 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:14:42.466 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
21:14:42.706 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:14:42.706 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
21:14:42.729 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:14:42.729 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "4 weeks"
21:14:42.779 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:14:42.779 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "4 weeks"
21:14:42.792 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:14:42.793 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright course"
21:14:42.840 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:14:42.840 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright course"
21:14:42.865 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:14:42.865 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
21:14:42.954 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:14:42.954 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
21:14:42.977 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:14:42.977 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
21:14:43.029 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:14:43.030 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
21:14:43.046 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:14:43.046 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:14:43.057 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:14:43.057 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:14:43.071 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:14:43.072 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:14:43.088 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:14:43.088 | 💡 INFO     | BUTTON         | Checking that button "Create course" is enabled
