21:14:44.263 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:14:45.067 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:14:45.067 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:14:45.473 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:14:45.473 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:14:45.492 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:14:45.492 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:14:45.515 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:14:45.515 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:14:45.538 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:14:45.539 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
21:14:45.574 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:14:45.575 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
21:14:45.605 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:14:45.605 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
21:14:45.631 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:14:45.631 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
21:14:45.645 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:14:45.645 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
21:14:45.663 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:14:45.663 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
21:14:45.681 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:14:45.681 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
21:14:45.693 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:14:45.693 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
21:14:45.707 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:14:45.707 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
21:14:45.717 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:14:45.717 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
21:14:45.733 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
21:14:45.733 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
21:14:45.752 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
21:14:45.752 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
21:14:45.772 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
21:14:45.772 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
21:14:45.783 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
21:14:45.783 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
21:14:45.807 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
21:14:45.807 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:14:45.824 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
21:14:45.824 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
21:14:45.843 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
21:14:45.843 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
21:14:45.858 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
21:14:45.858 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Click on "Create exercise" button to create new exercise"
21:14:45.872 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
21:14:45.873 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
21:14:45.939 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
21:14:45.939 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
21:14:46.068 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
21:14:46.068 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
21:14:46.107 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-icon" at index "0"
21:14:46.108 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Image upload info icon" is visible
21:14:46.125 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
21:14:46.125 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" is visible
21:14:46.150 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
21:14:46.150 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" has text: "Tap on "Upload image" button to select file"
21:14:46.158 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
21:14:46.159 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" is visible
21:14:46.174 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
21:14:46.174 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" has text: "Recommended file size 540X300"
21:14:46.185 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-upload-button" at index "0"
21:14:46.185 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Upload image" is visible
21:14:46.199 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
21:14:46.199 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
21:14:46.219 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
21:14:46.219 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
21:14:46.275 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:14:46.275 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
21:14:46.382 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:14:46.382 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
21:14:46.437 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:14:46.437 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
21:14:46.527 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:14:46.527 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
21:14:46.580 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:14:46.580 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
21:14:46.774 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:14:46.774 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
21:14:46.864 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:14:46.864 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
21:14:46.976 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:14:46.976 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
21:14:47.022 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:14:47.022 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
