21:15:01.285 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/dashboard
21:15:02.006 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:15:02.006 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:15:02.147 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:15:02.148 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:15:02.160 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:15:02.161 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:15:02.170 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:15:02.170 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:15:02.188 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:15:02.188 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:15:02.197 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:15:02.197 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:15:02.208 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:15:02.208 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:15:02.219 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:15:02.219 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:15:02.230 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:15:02.230 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:15:02.238 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:15:02.238 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:15:02.244 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:15:02.245 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:15:02.255 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
21:15:02.255 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
21:15:02.262 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:15:02.262 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:15:02.274 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:15:02.274 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:15:02.280 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:15:02.280 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
21:15:02.288 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:15:02.289 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
21:15:02.295 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:15:02.295 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:15:02.305 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:15:02.305 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
