21:14:52.031 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
21:14:53.326 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:14:53.327 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:14:53.645 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:14:53.646 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:14:53.685 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:14:53.686 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:14:53.746 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:14:53.747 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:14:53.778 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:14:53.778 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:14:53.807 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:14:53.807 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:14:53.829 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:14:53.829 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:14:53.857 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:14:53.857 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:14:53.883 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:14:53.883 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:14:53.914 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:14:53.914 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:14:53.959 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:14:53.960 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:14:53.976 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
21:14:53.977 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
21:14:53.991 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:14:53.992 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:14:54.012 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:14:54.012 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:14:54.031 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:14:54.031 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
21:14:54.046 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:14:54.046 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
21:14:54.064 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:14:54.064 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
21:14:54.080 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:14:54.082 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
21:14:54.101 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
21:14:54.101 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
21:14:54.114 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
21:14:54.114 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
21:14:54.130 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
21:14:54.130 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:14:54.149 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
21:14:54.149 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
21:14:54.181 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
21:14:54.181 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
21:14:54.207 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
21:14:54.207 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
