21:14:13.079 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:14:15.984 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:14:15.985 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
21:14:16.211 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:14:16.211 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
21:14:16.236 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:14:16.236 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:14:16.357 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:14:16.357 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:14:16.380 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:14:16.380 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:14:16.568 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:14:16.569 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:14:16.599 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:14:16.599 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
