21:14:18.521 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:14:19.357 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:14:19.357 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:14:19.986 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:14:19.986 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:14:20.024 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:14:20.024 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:14:20.164 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:14:20.164 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:14:20.245 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:14:20.245 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:14:20.470 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:14:20.471 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:14:20.500 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:14:20.500 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:14:20.823 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:14:20.823 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:14:21.673 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:14:21.673 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:14:21.721 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:14:21.721 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:14:21.738 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:14:21.738 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:14:21.753 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:14:21.753 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
21:14:21.764 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:14:21.764 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
21:14:21.778 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:14:21.778 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:14:21.800 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:14:21.801 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:14:21.814 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:14:21.814 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:14:21.826 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:14:21.826 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:14:21.839 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:14:21.840 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:14:21.859 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:14:21.859 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:14:21.881 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:14:21.881 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
