21:14:52.168 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/dashboard
21:14:53.026 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:14:53.026 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:14:53.779 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:14:53.779 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:14:53.809 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:14:53.809 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:14:53.845 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:14:53.846 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:14:53.875 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:14:53.875 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:14:53.900 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:14:53.900 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:14:53.918 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:14:53.918 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:14:53.938 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:14:53.941 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:14:53.971 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:14:53.971 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:14:53.992 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:14:53.992 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:14:54.004 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:14:54.004 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:14:54.024 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
21:14:54.024 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
21:14:54.043 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:14:54.043 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:14:54.064 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:14:54.064 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:14:54.089 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:14:54.089 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
