21:20:05.873 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:20:07.785 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:20:07.785 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:20:08.014 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:20:08.014 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:20:08.080 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:20:08.080 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:20:08.104 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:20:08.104 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:20:08.135 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:20:08.135 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
21:20:08.282 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:20:08.282 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
21:20:08.314 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:20:08.314 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
21:20:08.338 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:20:08.338 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
21:20:08.380 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:20:08.380 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
21:20:08.412 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:20:08.412 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
21:20:08.442 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:20:08.442 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
21:20:08.462 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:20:08.462 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
21:20:08.491 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:20:08.492 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
21:20:08.521 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:20:08.521 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
21:20:08.545 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
21:20:08.545 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
21:20:08.565 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
21:20:08.566 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
21:20:08.580 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
21:20:08.580 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
21:20:08.611 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
21:20:08.612 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
21:20:08.642 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
21:20:08.642 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:20:08.673 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
21:20:08.673 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
21:20:08.706 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
21:20:08.706 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
21:20:08.738 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
21:20:08.739 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Click on "Create exercise" button to create new exercise"
21:20:08.764 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
21:20:08.764 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
21:20:08.954 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
21:20:08.954 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
21:20:08.989 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
21:20:08.989 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
21:20:09.004 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-icon" at index "0"
21:20:09.005 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Image upload info icon" is visible
21:20:09.029 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
21:20:09.030 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" is visible
21:20:09.050 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
21:20:09.050 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" has text: "Tap on "Upload image" button to select file"
21:20:09.081 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
21:20:09.081 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" is visible
21:20:09.101 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
21:20:09.101 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" has text: "Recommended file size 540X300"
21:20:09.122 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-upload-button" at index "0"
21:20:09.122 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Upload image" is visible
21:20:09.135 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
21:20:09.135 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
21:20:09.145 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
21:20:09.145 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
21:20:09.165 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:20:09.166 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
21:20:09.272 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:20:09.272 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
21:20:09.307 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:20:09.307 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
21:20:09.410 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:20:09.410 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
21:20:09.428 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:20:09.429 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
21:20:09.505 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:20:09.505 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
21:20:09.530 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:20:09.531 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
21:20:09.626 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:20:09.627 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
21:20:09.669 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:20:09.669 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
21:20:09.836 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:20:09.837 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
21:20:09.874 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:20:09.874 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Create course"
21:20:10.153 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:20:10.154 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
21:20:10.291 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:20:10.291 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
21:20:10.322 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
21:20:10.322 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
21:20:10.349 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-preview-image" at index "0"
21:20:10.349 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview" is visible
21:20:10.396 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
21:20:10.397 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:20:10.438 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
21:20:10.439 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Playwright"
21:20:10.464 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
21:20:10.465 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" is visible
21:20:10.487 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
21:20:10.487 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" has text: "Max score: 100"
