21:19:27.222 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:19:28.288 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:19:28.288 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
21:19:28.466 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:19:28.466 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
21:19:28.517 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:19:28.517 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:19:28.588 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:19:28.588 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:19:28.622 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:19:28.622 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:19:28.794 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:19:28.794 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:19:28.818 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:19:28.819 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
