21:19:27.261 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:19:28.435 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:19:28.435 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
21:19:28.650 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:19:28.650 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
21:19:28.708 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:19:28.708 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:19:28.792 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:19:28.792 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:19:28.806 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:19:28.806 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:19:28.891 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:19:28.891 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:19:28.904 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:19:28.904 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
