21:19:47.500 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:19:50.479 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:19:50.482 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:19:51.073 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:19:51.073 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:19:51.524 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:19:51.525 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:19:51.635 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:19:51.635 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:19:51.676 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:19:51.677 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:19:51.806 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:19:51.806 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:19:51.877 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:19:51.877 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:19:52.042 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:19:52.043 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:19:52.258 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:19:52.259 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
