21:19:35.651 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:19:36.564 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:19:36.565 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
21:19:36.910 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:19:36.910 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
21:19:36.925 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:19:36.925 | 💡 INFO     | INPUT          | Filling input "Password" with value: "  "
21:19:36.983 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:19:36.983 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "  "
21:19:37.008 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:19:37.008 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:19:37.383 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:19:37.383 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:19:37.408 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:19:37.409 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
