21:19:47.822 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
21:19:49.155 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:19:49.155 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
21:19:49.489 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
21:19:49.490 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
21:19:49.509 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:19:49.509 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
21:19:49.599 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
21:19:49.599 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
21:19:49.610 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:19:49.610 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:19:49.670 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
21:19:49.671 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:19:49.684 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
21:19:49.684 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
21:19:49.858 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:19:49.858 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:19:50.541 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
21:19:50.542 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
