21:19:57.236 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
21:19:58.455 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:19:58.456 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:19:58.673 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:19:58.673 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:19:58.727 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:19:58.727 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:19:58.763 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:19:58.763 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
21:19:58.790 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
21:19:58.790 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
21:19:58.844 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
21:19:58.844 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
21:19:59.125 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
21:19:59.125 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
21:19:59.160 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:19:59.160 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
21:19:59.454 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
21:19:59.455 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
21:19:59.487 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:19:59.488 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "4 weeks"
21:19:59.562 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
21:19:59.563 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "4 weeks"
21:19:59.594 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:19:59.595 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright course"
21:19:59.690 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
21:19:59.691 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright course"
21:19:59.723 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:19:59.725 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
21:19:59.836 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
21:19:59.836 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
21:19:59.861 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:19:59.861 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
21:19:59.986 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
21:19:59.986 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
21:20:00.011 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:20:00.011 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
21:20:00.038 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
21:20:00.038 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
21:20:00.070 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:20:00.070 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
21:20:00.110 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
21:20:00.110 | 💡 INFO     | BUTTON         | Checking that button "Create course" is enabled
