21:19:26.560 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
21:19:27.516 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:19:27.518 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
21:19:27.791 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
21:19:27.791 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
21:19:27.823 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:19:27.823 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
21:19:27.911 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
21:19:27.911 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
21:19:27.921 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
21:19:27.921 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
21:19:28.022 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:19:28.022 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
21:19:28.074 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
21:19:28.075 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
