21:20:11.740 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/dashboard
21:20:12.128 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:20:12.129 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:20:12.437 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:20:12.437 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:20:12.457 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:20:12.457 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:20:12.473 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:20:12.473 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:20:12.480 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:20:12.480 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:20:12.489 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:20:12.489 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:20:12.496 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:20:12.496 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:20:12.503 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:20:12.503 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:20:12.510 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:20:12.510 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:20:12.517 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:20:12.518 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:20:12.527 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:20:12.527 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:20:12.533 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
21:20:12.533 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
21:20:12.539 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:20:12.539 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:20:12.547 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:20:12.547 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:20:12.558 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
