21:19:59.334 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
21:20:00.474 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
21:20:00.474 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
21:20:00.560 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:20:00.560 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
21:20:00.864 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
21:20:00.864 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
21:20:00.874 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
21:20:00.874 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
21:20:00.887 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
21:20:00.887 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
21:20:00.894 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:20:00.894 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
21:20:00.937 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
21:20:00.940 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
21:20:00.964 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
21:20:00.966 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
21:20:00.984 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
21:20:00.984 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
21:20:00.998 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:20:00.999 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
21:20:01.010 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
21:20:01.010 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
21:20:01.019 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
21:20:01.021 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
21:20:01.088 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:20:01.089 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
21:20:01.097 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
21:20:01.097 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
21:20:01.108 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:20:01.109 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
21:20:01.118 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
21:20:01.119 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
21:20:01.131 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:20:01.131 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
21:20:01.144 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
21:20:01.144 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
21:20:01.153 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
21:20:01.153 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
21:20:01.160 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
21:20:01.160 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
21:20:01.167 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
21:20:01.167 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
21:20:01.175 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
21:20:01.175 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
21:20:01.186 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
21:20:01.186 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
21:20:01.201 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
21:20:01.202 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
