00:43:35.605 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
00:43:36.711 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:36.711 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
00:43:37.155 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:37.155 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
00:43:37.176 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:37.176 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
00:43:37.191 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:37.192 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
00:43:37.204 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:37.205 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
00:43:37.290 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:37.291 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
00:43:37.357 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:37.358 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
00:43:37.489 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:37.489 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
00:43:37.510 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:37.511 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
00:43:37.601 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:37.601 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
00:43:37.681 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
00:43:37.681 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
00:43:37.766 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
00:43:37.767 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
00:43:37.800 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
00:43:37.800 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
00:43:37.870 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
00:43:37.870 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
00:43:37.886 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
00:43:37.887 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
00:43:37.944 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
00:43:37.944 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
