00:43:01.625 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
00:43:02.919 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
00:43:02.919 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
00:43:03.116 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
00:43:03.117 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
00:43:03.145 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
00:43:03.145 | 💡 INFO     | INPUT          | Filling input "Password" with value: "  "
00:43:03.222 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
00:43:03.223 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "  "
00:43:03.247 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
00:43:03.247 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
00:43:03.493 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
00:43:03.493 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
00:43:03.542 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
00:43:03.542 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
