00:43:00.512 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
00:43:02.763 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
00:43:02.763 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
00:43:03.098 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
00:43:03.098 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
00:43:03.837 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
00:43:03.837 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
00:43:03.911 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
00:43:03.912 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
00:43:03.948 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
00:43:03.948 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
00:43:04.133 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
00:43:04.133 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
00:43:04.180 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
00:43:04.180 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
