00:43:17.467 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
00:43:19.901 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
00:43:19.902 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
00:43:20.346 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
00:43:20.346 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
00:43:20.394 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
00:43:20.394 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
00:43:20.561 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
00:43:20.561 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
00:43:20.586 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
00:43:20.586 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
00:43:20.682 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
00:43:20.683 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
00:43:20.709 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
00:43:20.709 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
00:43:20.975 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
00:43:20.975 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
00:43:21.191 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
00:43:21.191 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
