00:43:46.163 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/dashboard
00:43:46.911 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
00:43:46.911 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
00:43:47.106 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
00:43:47.107 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
00:43:47.127 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
00:43:47.128 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
00:43:47.144 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
00:43:47.144 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
00:43:47.163 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
00:43:47.163 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
00:43:47.178 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
00:43:47.178 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
00:43:47.193 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
00:43:47.193 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
00:43:47.210 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
00:43:47.210 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
00:43:47.227 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
00:43:47.227 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
00:43:47.241 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
00:43:47.241 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
00:43:47.250 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
00:43:47.250 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
00:43:47.265 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
00:43:47.265 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
00:43:47.280 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
