00:43:19.503 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
00:43:20.596 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
00:43:20.596 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
00:43:20.864 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
00:43:20.864 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
00:43:20.872 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
00:43:20.872 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
00:43:20.940 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
00:43:20.943 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
00:43:20.955 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
00:43:20.955 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
00:43:21.011 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
00:43:21.012 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
00:43:21.026 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
00:43:21.026 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
00:43:21.162 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
00:43:22.401 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
00:43:23.197 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:23.197 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
00:43:24.006 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:24.006 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
00:43:24.028 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:24.028 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
00:43:24.060 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:24.060 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
00:43:24.070 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
00:43:24.070 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
00:43:24.126 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
00:43:24.126 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
00:43:24.320 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
00:43:24.321 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
00:43:24.366 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:24.366 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
00:43:24.480 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:24.480 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
00:43:24.502 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:24.503 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "4 weeks"
00:43:24.579 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:24.579 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "4 weeks"
00:43:24.597 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:24.598 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright course"
00:43:24.665 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:24.665 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright course"
00:43:24.682 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
00:43:24.682 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
00:43:24.805 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
00:43:24.805 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
00:43:24.819 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
00:43:24.820 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
00:43:24.901 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
00:43:24.901 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
00:43:24.921 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:24.922 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
00:43:25.003 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:25.003 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
00:43:25.012 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:25.012 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
00:43:25.029 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:25.029 | 💡 INFO     | BUTTON         | Checking that button "Create course" is enabled
