00:43:30.265 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
00:43:31.105 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:31.105 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
00:43:31.410 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:31.411 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
00:43:31.424 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:31.424 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
00:43:31.440 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:31.440 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
00:43:31.459 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:31.459 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
00:43:31.484 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:31.484 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
00:43:31.495 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:31.496 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
00:43:31.507 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:31.507 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
00:43:31.532 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:31.532 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
00:43:31.544 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:31.544 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
00:43:31.550 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
00:43:31.550 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
00:43:31.558 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
00:43:31.558 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
00:43:31.572 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
00:43:31.572 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
00:43:31.581 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
00:43:31.581 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
00:43:31.592 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
00:43:31.592 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
00:43:31.603 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
00:43:31.604 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
00:43:31.617 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
00:43:31.618 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
00:43:31.627 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
00:43:31.627 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
00:43:31.660 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
00:43:31.660 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
00:43:31.680 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
00:43:31.680 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
00:43:31.689 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
00:43:31.689 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
00:43:31.697 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
00:43:31.697 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Click on "Create exercise" button to create new exercise"
00:43:31.709 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
00:43:31.709 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
00:43:31.744 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
00:43:31.745 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
00:43:31.845 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
00:43:31.846 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
00:43:31.857 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-icon" at index "0"
00:43:31.858 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Image upload info icon" is visible
00:43:31.864 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
00:43:31.865 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" is visible
00:43:31.869 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
00:43:31.870 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" has text: "Tap on "Upload image" button to select file"
00:43:31.877 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
00:43:31.877 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" is visible
00:43:31.883 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
00:43:31.883 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" has text: "Recommended file size 540X300"
00:43:31.888 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-upload-button" at index "0"
00:43:31.889 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Upload image" is visible
00:43:31.894 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
00:43:31.894 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
00:43:31.899 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
00:43:31.900 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
00:43:31.913 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:31.913 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
00:43:32.015 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:32.015 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
00:43:32.038 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:32.039 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
00:43:32.118 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:32.118 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
00:43:32.143 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:32.144 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
00:43:32.363 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:32.363 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
00:43:32.370 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
00:43:32.370 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
00:43:32.441 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
00:43:32.441 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
00:43:32.469 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
00:43:32.469 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
00:43:32.542 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
00:43:32.542 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
00:43:32.569 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:32.570 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Create course"
00:43:32.957 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
00:43:32.957 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
00:43:33.018 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
00:43:33.018 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
00:43:33.031 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
00:43:33.031 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
00:43:33.076 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-preview-image" at index "0"
00:43:33.076 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview" is visible
00:43:33.092 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
00:43:33.092 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
00:43:33.104 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
00:43:33.104 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Playwright"
00:43:33.110 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
00:43:33.110 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" is visible
00:43:33.116 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
00:43:33.116 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" has text: "Max score: 100"
00:43:33.122 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
00:43:33.122 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" is visible
00:43:33.132 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
00:43:33.132 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" has text: "Min score: 10"
00:43:33.140 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
00:43:33.140 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" is visible
00:43:33.146 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
00:43:33.146 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" has text: "Estimated time: 2 weeks"
