00:43:32.018 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
00:43:33.383 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:33.384 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
00:43:33.651 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:33.652 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
00:43:33.696 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:33.696 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
00:43:33.719 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:33.719 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
00:43:33.728 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:33.729 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
00:43:33.788 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:33.788 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
00:43:33.797 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:33.797 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
00:43:33.867 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:33.869 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
00:43:33.911 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:33.912 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
00:43:33.988 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:33.988 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
00:43:34.008 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
00:43:34.008 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
00:43:34.074 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
00:43:34.075 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
00:43:34.090 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
00:43:34.090 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
00:43:34.150 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
00:43:34.151 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
00:43:34.173 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
00:43:34.176 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
00:43:34.287 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
00:43:34.287 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
00:43:34.314 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
00:43:34.314 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
00:43:34.342 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:34.342 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Create course"
00:43:34.507 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-preview-image" at index "0"
00:43:34.507 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview" is visible
00:43:34.628 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
00:43:34.628 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
00:43:34.657 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
00:43:34.657 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Playwright"
00:43:34.673 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
00:43:34.673 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" is visible
00:43:34.689 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
00:43:34.689 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" has text: "Max score: 100"
00:43:34.706 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
00:43:34.706 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" is visible
00:43:34.713 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-min-score-info-row-view-text" at index "0"
00:43:34.713 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Min score" has text: "Min score: 10"
00:43:34.727 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
00:43:34.727 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" is visible
00:43:34.749 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-estimated-time-info-row-view-text" at index "0"
00:43:34.749 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Estimated time" has text: "Estimated time: 2 weeks"
00:43:34.764 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-view-menu-button" at index "0"
00:43:34.764 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Menu"
00:43:34.917 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-view-edit-menu-item" at index "0"
00:43:34.917 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Edit" is visible
00:43:34.942 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-view-edit-menu-item" at index "0"
