00:43:42.070 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/dashboard
00:43:43.375 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
00:43:43.375 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
00:43:44.068 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
00:43:44.068 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
00:43:44.118 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
00:43:44.118 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
00:43:44.171 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
00:43:44.171 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
00:43:44.199 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
00:43:44.199 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
00:43:44.234 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
00:43:44.235 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
00:43:44.290 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
00:43:44.290 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
00:43:44.332 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
00:43:44.332 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
00:43:44.371 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
00:43:44.372 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
00:43:44.418 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
00:43:44.418 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
00:43:44.452 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
00:43:44.454 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
00:43:44.474 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
00:43:44.475 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
00:43:44.502 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
00:43:44.502 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
00:43:44.558 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
00:43:44.558 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
00:43:44.604 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
00:43:44.604 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
