00:43:42.805 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
00:43:44.377 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:44.377 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
00:43:44.571 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:44.572 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
00:43:44.656 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:44.656 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
00:43:45.134 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:45.134 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
00:43:45.162 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:45.162 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
00:43:45.295 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:45.295 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
00:43:45.344 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:45.344 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
00:43:45.414 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:45.414 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
00:43:45.456 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:45.456 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
00:43:45.514 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:45.515 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
