00:43:22.516 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
00:43:23.346 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
00:43:23.346 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
00:43:23.604 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
00:43:23.606 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
00:43:23.643 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
00:43:23.643 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
00:43:23.712 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
00:43:23.713 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
00:43:23.722 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
00:43:23.722 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
00:43:23.779 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
00:43:23.779 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
00:43:23.792 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
00:43:23.792 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
00:43:23.944 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
00:43:24.568 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
00:43:25.913 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:25.913 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
00:43:26.119 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:26.119 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
