00:43:02.236 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
00:43:03.328 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
00:43:03.328 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
00:43:03.501 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
00:43:03.502 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
00:43:03.548 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
00:43:03.548 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
00:43:03.613 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
00:43:03.614 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
00:43:03.627 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
00:43:03.627 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
00:43:04.133 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
00:43:04.133 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
00:43:04.150 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
00:43:04.150 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
