00:43:27.901 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
00:43:29.089 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:29.090 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
00:43:29.517 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
00:43:29.517 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
00:43:29.569 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:29.569 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
00:43:29.607 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
00:43:29.607 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
00:43:29.656 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:29.656 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
00:43:29.668 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
00:43:29.668 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
00:43:29.679 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:29.679 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
00:43:29.690 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
00:43:29.690 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
00:43:29.706 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:29.706 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
00:43:29.720 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
00:43:29.720 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
00:43:29.730 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
00:43:29.730 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
00:43:29.737 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
00:43:29.737 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
00:43:29.746 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
00:43:29.747 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
00:43:29.753 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
00:43:29.754 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
00:43:29.763 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
00:43:29.766 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
00:43:29.777 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
00:43:29.777 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
00:43:29.785 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
00:43:29.785 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
00:43:29.793 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
00:43:29.793 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
00:43:29.799 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
00:43:29.799 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
00:43:29.806 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
00:43:29.806 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
00:43:29.811 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
00:43:29.811 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
00:43:29.819 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
00:43:29.819 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Click on "Create exercise" button to create new exercise"
00:43:29.825 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
00:43:29.825 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
00:43:29.857 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
00:43:29.858 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
00:43:29.921 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
00:43:29.923 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
00:43:29.948 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-icon" at index "0"
00:43:29.949 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Image upload info icon" is visible
00:43:29.964 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
00:43:29.964 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" is visible
00:43:29.974 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-title-text" at index "0"
00:43:29.974 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info title" has text: "Tap on "Upload image" button to select file"
00:43:29.985 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
00:43:29.985 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" is visible
00:43:30.002 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-info-description-text" at index "0"
00:43:30.002 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Image upload info description" has text: "Recommended file size 540X300"
