01:07:12.573 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
01:07:13.322 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
01:07:13.322 | 💡 INFO     | INPUT          | Filling input "Email" with value: "  "
01:07:13.870 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
01:07:13.870 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "  "
01:07:13.912 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
01:07:13.912 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
01:07:14.131 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
01:07:14.131 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
01:07:14.201 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
01:07:14.201 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
01:07:14.434 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
01:07:14.435 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
01:07:14.457 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
01:07:14.458 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
