01:07:34.848 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
01:07:36.357 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
01:07:36.358 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
01:07:36.474 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
01:07:36.478 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
01:07:36.509 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
01:07:36.509 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
01:07:36.528 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
01:07:36.528 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
01:07:36.538 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
01:07:36.540 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
01:07:36.557 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
01:07:36.557 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
01:07:36.569 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
01:07:36.569 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
01:07:36.584 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
01:07:36.584 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
01:07:36.596 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
01:07:36.596 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
01:07:36.613 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
01:07:36.613 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
01:07:36.630 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
01:07:36.632 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
01:07:36.638 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
01:07:36.639 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
01:07:36.650 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
01:07:36.651 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
01:07:36.664 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
01:07:36.665 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
01:07:36.675 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
01:07:36.675 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
