01:07:30.053 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
01:07:30.923 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:07:30.924 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
01:07:31.229 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:07:31.230 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
01:07:31.244 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:07:31.245 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
01:07:31.293 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:07:31.294 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
01:07:31.315 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:07:31.315 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
01:07:31.357 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:07:31.358 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
01:07:31.363 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
01:07:31.363 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
01:07:31.471 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
01:07:32.707 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses
01:07:33.382 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-icon" at index "0"
01:07:33.382 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Logout icon" is visible
01:07:33.712 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
01:07:33.712 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" is visible
01:07:33.725 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-title-text" at index "0"
01:07:33.725 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Logout title" has text: "Logout"
01:07:33.734 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: logout-drawer-list-item-button" at index "0"
01:07:33.734 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Logout button" is visible
01:07:33.750 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-icon" at index "0"
01:07:33.751 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Courses icon" is visible
01:07:33.762 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
01:07:33.762 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" is visible
01:07:33.770 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-title-text" at index "0"
01:07:33.770 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses title" has text: "Courses"
01:07:33.779 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-drawer-list-item-button" at index "0"
01:07:33.779 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Courses button" is visible
01:07:33.787 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-icon" at index "0"
01:07:33.787 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Dashboard icon" is visible
01:07:33.802 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
01:07:33.802 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
01:07:33.821 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-title-text" at index "0"
01:07:33.821 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
01:07:33.829 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-drawer-list-item-button" at index "0"
01:07:33.829 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Dashboard button" is visible
01:07:33.835 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
01:07:33.835 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" is visible
01:07:33.842 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-app-title-text" at index "0"
01:07:33.842 | 💡 INFO     | BASE_ELEMENT   | Checking that text "App title" has text: "UI Course"
01:07:33.849 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
01:07:33.849 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" is visible
01:07:33.855 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: navigation-navbar-welcome-title-text" at index "0"
01:07:33.856 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Welcome title" has text: "Welcome, username!"
01:07:33.861 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
01:07:33.862 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" is visible
01:07:33.867 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-title-text" at index "0"
01:07:33.867 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Courses list title" has text: "Courses"
01:07:33.873 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-toolbar-create-course-button" at index "0"
01:07:33.873 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course button" is visible
01:07:33.880 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-icon" at index "0"
01:07:33.880 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
01:07:33.885 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
01:07:33.885 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
01:07:33.891 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-title-text" at index "0"
01:07:33.891 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no results"
01:07:33.896 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
01:07:33.896 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
01:07:33.901 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: courses-list-empty-view-description-text" at index "0"
01:07:33.902 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Results from the load test pipeline will be displayed here"
