01:07:23.138 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
01:07:23.860 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:07:23.860 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
01:07:24.015 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:07:24.015 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
01:07:24.037 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:07:24.037 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
01:07:24.085 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:07:24.085 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
01:07:24.089 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:07:24.090 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
01:07:24.112 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:07:24.112 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
01:07:24.116 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
01:07:24.116 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
01:07:24.301 | 💡 INFO     | BASE_PAGE      | Checking that current url matches pattern: .*/#/dashboard
01:07:24.978 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
01:07:26.763 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
01:07:26.763 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
01:07:27.479 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
01:07:27.480 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
01:07:27.513 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
01:07:27.513 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
01:07:27.562 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
01:07:27.562 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
01:07:27.588 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
01:07:27.588 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
01:07:27.672 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
01:07:27.672 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
01:07:27.701 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
01:07:27.701 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
01:07:27.726 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
01:07:27.726 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Python UI Automation"
01:07:27.793 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
01:07:27.796 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Python UI Automation"
01:07:27.820 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
01:07:27.820 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "4 weeks"
01:07:28.056 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
01:07:28.056 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "4 weeks"
01:07:28.080 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
01:07:28.080 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright course"
01:07:28.219 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
01:07:28.219 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright course"
01:07:28.248 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
01:07:28.248 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
01:07:28.358 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
01:07:28.358 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
01:07:28.397 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
01:07:28.399 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
