01:07:37.036 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
01:07:38.143 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
01:07:38.146 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
01:07:38.693 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
01:07:38.694 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
01:07:38.708 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
01:07:38.708 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
01:07:38.733 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
01:07:38.734 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
01:07:38.758 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
01:07:38.758 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Title" is visible
01:07:38.781 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
01:07:38.784 | 💡 INFO     | INPUT          | Checking that input "Title" has value: ""
01:07:38.796 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
01:07:38.796 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Estimated time" is visible
01:07:38.810 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
01:07:38.810 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: ""
01:07:38.822 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
01:07:38.822 | 💡 INFO     | BASE_ELEMENT   | Checking that textarea "Description" is visible
01:07:38.832 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
01:07:38.833 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: ""
01:07:38.843 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
01:07:38.844 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Max score" is visible
01:07:38.860 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
01:07:38.860 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "0"
01:07:38.876 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
01:07:38.878 | 💡 INFO     | BASE_ELEMENT   | Checking that input "Min score" is visible
01:07:38.893 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
01:07:38.893 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "0"
01:07:38.907 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
01:07:38.907 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" is visible
01:07:38.929 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-title-text" at index "0"
01:07:38.929 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Exercises title" has text: "Exercises"
01:07:38.946 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-box-toolbar-create-exercise-button" at index "0"
01:07:38.946 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create exercise" is visible
01:07:38.956 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-icon" at index "0"
01:07:38.956 | 💡 INFO     | BASE_ELEMENT   | Checking that icon "Icon" is visible
01:07:38.982 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
01:07:38.982 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
01:07:39.016 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-title-text" at index "0"
01:07:39.016 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "There is no exercises"
01:07:39.033 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
01:07:39.033 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" is visible
01:07:39.061 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-exercises-empty-view-description-text" at index "0"
01:07:39.061 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Description" has text: "Click on "Create exercise" button to create new exercise"
