01:07:50.825 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/courses/create
01:07:52.137 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
01:07:52.137 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" is visible
01:07:52.239 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-title-text" at index "0"
01:07:52.240 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Create course title" has text: "Create course"
01:07:52.258 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
01:07:52.258 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Create course" is visible
01:07:52.273 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
01:07:52.273 | 💡 INFO     | BUTTON         | Checking that button "Create course" is disabled
01:07:52.284 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
01:07:52.284 | 💡 INFO     | INPUT          | Filling input "Title" with value: "Playwright"
01:07:52.332 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-title-input" at index "0"
01:07:52.332 | 💡 INFO     | INPUT          | Checking that input "Title" has value: "Playwright"
01:07:52.345 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
01:07:52.346 | 💡 INFO     | INPUT          | Filling input "Estimated time" with value: "2 weeks"
01:07:52.387 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-estimated-time-input" at index "0"
01:07:52.388 | 💡 INFO     | INPUT          | Checking that input "Estimated time" has value: "2 weeks"
01:07:52.398 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
01:07:52.398 | 💡 INFO     | TEXTAREA       | Filling textarea "Description" with value: "Playwright"
01:07:52.451 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-description-input" at index "0"
01:07:52.452 | 💡 INFO     | TEXTAREA       | Checking that textarea "Description" has value: "Playwright"
01:07:52.481 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
01:07:52.481 | 💡 INFO     | INPUT          | Filling input "Max score" with value: "100"
01:07:52.559 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-max-score-input" at index "0"
01:07:52.559 | 💡 INFO     | INPUT          | Checking that input "Max score" has value: "100"
01:07:52.571 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
01:07:52.574 | 💡 INFO     | INPUT          | Filling input "Min score" with value: "10"
01:07:52.634 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-form-min-score-input" at index "0"
01:07:52.634 | 💡 INFO     | INPUT          | Checking that input "Min score" has value: "10"
01:07:52.666 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-input" at index "0"
01:07:52.667 | 💡 INFO     | FILE_INPUT     | Setting input "testdata/files/image.png" for file input "Image upload input"
01:07:52.727 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-preview-image" at index "0"
01:07:52.727 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview image" is visible
01:07:52.797 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-preview-image-upload-widget-remove-button" at index "0"
01:07:52.797 | 💡 INFO     | BASE_ELEMENT   | Checking that button "Remove image" is visible
01:07:52.825 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: create-course-toolbar-create-course-button" at index "0"
01:07:52.825 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Create course"
01:07:53.027 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-preview-image" at index "0"
01:07:53.027 | 💡 INFO     | BASE_ELEMENT   | Checking that image "Preview" is visible
01:07:53.152 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
01:07:53.152 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" is visible
01:07:53.191 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-widget-title-text" at index "0"
01:07:53.191 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Title" has text: "Playwright"
01:07:53.220 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
01:07:53.220 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Max score" is visible
01:07:53.238 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: course-max-score-info-row-view-text" at index "0"
