01:07:19.222 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
01:07:20.854 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:07:20.854 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
01:07:21.365 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:07:21.365 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
01:07:21.413 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:07:21.413 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
01:07:21.517 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:07:21.517 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
01:07:21.533 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:07:21.533 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
01:07:21.629 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:07:21.629 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
01:07:21.643 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
01:07:21.644 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
01:07:21.925 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
01:07:21.926 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
01:07:22.261 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
01:07:22.262 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
