01:52:09.116 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/login
01:52:11.493 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
01:52:11.493 | 💡 INFO     | INPUT          | Filling input "Email" with value: "user.name@gmail.com"
01:52:12.041 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-email-input" at index "0"
01:52:12.041 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "user.name@gmail.com"
01:52:12.063 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
01:52:12.063 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
01:52:12.123 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-form-password-input" at index "0"
01:52:12.123 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
01:52:12.153 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-login-button" at index "0"
01:52:12.153 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Login"
01:52:12.320 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
01:52:12.321 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" is visible
01:52:12.333 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: login-page-wrong-email-or-password-alert" at index "0"
01:52:12.333 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Wrong email or password" has text: "Wrong email or password"
