01:52:26.642 | 💡 INFO     | BASE_PAGE      | Opening the: ./#/auth/registration
01:52:28.465 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:52:28.466 | 💡 INFO     | INPUT          | Filling input "Email" with value: "emailtest@gmail.com"
01:52:28.796 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-email-input" at index "0"
01:52:28.796 | 💡 INFO     | INPUT          | Checking that input "Email" has value: "emailtest@gmail.com"
01:52:28.824 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:52:28.826 | 💡 INFO     | INPUT          | Filling input "Username" with value: "username"
01:52:28.890 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-username-input" at index "0"
01:52:28.891 | 💡 INFO     | INPUT          | Checking that input "Username" has value: "username"
01:52:28.910 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:52:28.910 | 💡 INFO     | INPUT          | Filling input "Password" with value: "password"
01:52:29.013 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-form-password-input" at index "0"
01:52:29.013 | 💡 INFO     | INPUT          | Checking that input "Password" has value: "password"
01:52:29.046 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: registration-page-registration-button" at index "0"
01:52:29.047 | 💡 INFO     | BASE_ELEMENT   | Clicking on button "Registration"
01:52:29.234 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
01:52:29.235 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" is visible
01:52:29.556 | 🐛 DEBUG    | BASE_ELEMENT   | Getting locator with "data-testid: dashboard-toolbar-title-text" at index "0"
01:52:29.556 | 💡 INFO     | BASE_ELEMENT   | Checking that text "Dashboard title" has text: "Dashboard"
